backend,world_size,size_bytes,size_label,avg_ms,bus_gbps
nccl,2,1048576,1MB,0.6419456005096436,1.6334343582501862
nccl,2,10485760,10MB,2.889420986175537,3.629017734061329
nccl,2,104857600,100MB,24.94233512878418,4.2040009268815925
nccl,2,1073741824,1GB,246.79904174804688,4.350672581201371
nccl,4,1048576,1MB,1.0392576456069946,1.5134495345293748
nccl,4,10485760,10MB,4.534527778625488,3.468639022158044
nccl,4,104857600,100MB,50.9981689453125,3.0841577894426933
nccl,4,1073741824,1GB,517.63916015625,3.1114584443608067
nccl,6,1048576,1MB,1.3233152627944946,1.3206427189361798
nccl,6,10485760,10MB,5.925222396850586,2.9494701626652478
nccl,6,104857600,100MB,73.21277618408203,2.3870514925872146
nccl,6,1073741824,1GB,736.3672485351562,2.430267927079361
